cell_id,slot_id,throughput_slot,loss_event
2,0,676.933,0
2,1,30.656,0
2,2,30.656,0
2,3,6.912,0
2,4,30.656,0
2,5,6.912,0
2,6,23.744,0
2,7,30.656,0
2,8,30.656,1
2,9,6.912,1
2,10,30.656,1
2,11,30.656,0
2,12,6.912,0
2,13,30.656,0
2,14,29.792,0
2,15,38.432,0
2,16,30.656,0
2,17,23.744,0
2,18,6.912,0
2,19,30.656,0
2,20,6.912,0
2,21,49.752,0
2,22,87.55199999999999,0
2,23,167.873,0
2,24,4.32,0
2,25,30.656,0
2,26,30.656,0
2,27,30.656,0
2,28,30.656,0
2,29,6.912,0
2,30,6.912,0
2,31,23.744,0
2,32,30.656,0
2,33,30.656,0
2,34,30.656,0
2,35,4.536,0
2,36,30.656,0
2,37,0.0,0
2,38,30.656,0
2,39,37.568,1
2,40,30.656,0
2,41,30.656,1
2,42,6.912,1
2,43,6.912,0
2,44,54.4,0
2,45,0.0,0
2,46,6.912,0
2,47,30.656,0
2,48,61.312,0
2,49,30.656,0
2,50,6.912,0
2,51,6.912,0
2,52,30.656,0
2,53,30.656,0
2,54,30.656,0
2,55,27.2,0
2,56,3.456,0
2,57,6.912,0
2,58,30.656,0
2,59,30.656,0
2,60,30.656,0
2,61,30.656,0
2,62,0.0,0
2,63,8.352,0
2,64,117.792,0
2,65,182.273,0
2,66,6.912,0
2,67,6.912,0
2,68,23.744,0
2,69,37.568,0
2,70,23.744,0
2,71,30.656,1
2,72,6.912,1
2,73,61.312,1
2,74,30.656,0
2,75,6.912,0
2,76,27.2,0
2,77,10.367999999999999,0
2,78,30.656,0
2,79,30.656,0
2,80,30.656,0
2,81,0.0,0
2,82,27.2,0
2,83,10.367999999999999,0
2,84,30.656,0
2,85,6.912,0
2,86,30.656,0
2,87,23.744,0
2,88,6.912,0
2,89,30.656,0
2,90,37.568,0
2,91,30.656,0
2,92,29.792,0
2,93,0.864,0
2,94,2618.069,0
2,95,2088.1440000000002,0
2,96,2071.312,0
2,97,3191.7650000000003,0
2,98,2360.018,0
