cell_id,slot_id,throughput_slot,loss_event
3,0,676.933,0
3,1,30.656,0
3,2,30.656,0
3,3,6.912,0
3,4,30.656,0
3,5,6.912,0
3,6,23.744,0
3,7,30.656,0
3,8,30.656,1
3,9,6.912,1
3,10,30.656,1
3,11,30.656,0
3,12,6.912,0
3,13,30.656,0
3,14,29.792,0
3,15,38.432,0
3,16,30.656,0
3,17,23.744,0
3,18,6.912,0
3,19,30.656,0
3,20,6.912,0
3,21,49.752,0
3,22,87.55199999999999,0
3,23,167.873,0
3,24,4.32,0
3,25,30.656,0
3,26,30.656,0
3,27,30.656,0
3,28,30.656,0
3,29,6.912,0
3,30,6.912,0
3,31,23.744,0
3,32,30.656,0
3,33,30.656,0
3,34,30.656,0
3,35,4.536,0
3,36,30.656,0
3,37,0.0,0
3,38,30.656,0
3,39,37.568,1
3,40,30.656,0
3,41,30.656,1
3,42,6.912,1
3,43,6.912,0
3,44,54.4,0
3,45,0.0,0
3,46,6.912,0
3,47,30.656,0
3,48,61.312,0
3,49,30.656,0
3,50,6.912,0
3,51,6.912,0
3,52,30.656,0
3,53,30.656,0
3,54,30.656,0
3,55,27.2,0
3,56,3.456,0
3,57,6.912,0
3,58,30.656,0
3,59,30.656,0
3,60,30.656,0
3,61,30.656,0
3,62,0.0,0
3,63,8.352,0
3,64,117.792,0
3,65,182.273,0
3,66,6.912,0
3,67,6.912,0
3,68,23.744,0
3,69,37.568,0
3,70,23.744,0
3,71,30.656,1
3,72,6.912,1
3,73,61.312,1
3,74,30.656,0
3,75,6.912,0
3,76,27.2,0
3,77,10.367999999999999,0
3,78,30.656,0
3,79,30.656,0
3,80,30.656,0
3,81,0.0,0
3,82,27.2,0
3,83,10.367999999999999,0
3,84,30.656,0
3,85,6.912,0
3,86,30.656,0
3,87,23.744,0
3,88,6.912,0
3,89,30.656,0
3,90,37.568,0
3,91,30.656,0
3,92,29.792,0
3,93,0.864,0
3,94,2618.069,0
3,95,2088.1440000000002,0
3,96,2071.312,0
3,97,3191.7650000000003,0
3,98,2360.018,0
3,99,3127.2560000000003,0
3,100,579127.256,0
3,101,2088.1440000000002,0
3,102,3387.898,1
3,103,520.42,1
3,104,47.232,1
3,105,87.552,0
3,106,16.992,0
3,107,94.304,0
3,108,1879.9180000000001,0
3,109,280.80199999999996,0
3,110,1578.9560000000001,0
3,111,3148.76,0
3,112,2869.206,0
3,113,1555.212,0
3,114,2906.069,0
3,115,2618.069,0
3,116,3385.306,0
3,117,3385.306,0
3,118,1055.944,0
3,119,2071.312,0
3,120,1320.906,0
3,121,1297.162,0
3,122,3191.7650000000003,0
3,123,6509.107,0
3,124,10.367999999999999,0
3,125,578095.056,1
3,126,1032.2,1
3,127,30.656,1
3,128,1062.856,1
3,129,1297.162,1
3,130,1062.856,1
3,131,1039.112,1
3,132,2113.9480000000003,1
3,133,3385.306,1
3,134,3145.688,1
3,135,1297.162,1
3,136,804.806,1
3,137,3385.306,1
3,138,1032.2,1
3,139,1585.868,1
3,140,27.2,1
3,141,34.112,1
3,142,30.656,1
3,143,30.656,1
3,144,6.912,1
3,145,30.656,1
3,146,0.0,1
3,147,39.672,1
3,148,87.552,1
3,149,182.273,1
3,150,6.912,0
3,151,30.656,1
3,152,30.656,1
3,153,30.656,1
3,154,30.656,1
3,155,6.912,1
3,156,6.912,1
3,157,23.744,1
3,158,30.656,0
3,159,30.656,0
3,160,30.656,0
3,161,4.536,0
3,162,30.656,0
3,163,0.0,0
3,164,30.656,1
3,165,30.656,1
3,166,37.568,1
3,167,30.656,0
3,168,6.912,0
3,169,6.912,0
3,170,54.4,0
3,171,0.0,0
3,172,6.912,0
3,173,30.656,0
3,174,61.312,0
3,175,30.656,0
3,176,6.912,0
3,177,6.912,0
3,178,30.656,0
3,179,30.656,0
3,180,30.656,0
3,181,27.2,0
3,182,3.456,0
3,183,6.912,0
3,184,30.656,0
3,185,30.656,0
3,186,30.656,0
3,187,29.792,0
3,188,0.864,0
3,189,6.912,0
3,190,109.152,0
3,191,192.353,0
3,192,6.912,0
3,193,6.912,0
3,194,23.744,0
3,195,37.568,1
3,196,23.744,1
3,197,30.656,1
3,198,6.912,0
3,199,61.312,0
3,200,30.656,0
3,201,6.912,0
3,202,27.2,0
3,203,10.367999999999999,0
3,204,30.656,0
3,205,30.656,0
3,206,30.656,0
3,207,0.0,0
3,208,27.2,0
3,209,10.367999999999999,0
3,210,30.656,0
3,211,6.912,0
3,212,30.656,0
3,213,23.744,0
3,214,6.912,0
3,215,30.656,0
3,216,37.568,0
3,217,30.656,0
3,218,29.792,0
3,219,0.864,0
3,220,37.568,0
3,221,23.744,0
3,222,6.912,0
3,223,30.656,0
3,224,37.568,0
3,225,30.656,0
3,226,30.656,1
3,227,23.744,1
3,228,30.656,1
3,229,6.912,0
3,230,47.232,0
3,231,87.552,0
3,232,16.992,0
3,233,94.304,0
3,234,70.976,0
3,235,6.912,0
3,236,30.656,0
3,237,30.656,0
3,238,30.656,0
3,239,6.912,0
3,240,30.656,0
3,241,37.568,0
3,242,30.656,0
3,243,30.656,0
3,244,23.744,0
3,245,6.912,0
3,246,30.656,0
3,247,6.912,0
3,248,30.656,0
3,249,30.656,0
3,250,37.568,0
3,251,30.656,0
3,252,0.0,0
3,253,30.656,0
3,254,30.656,0
3,255,6.912,0
3,256,30.656,0
3,257,6.912,1
3,258,23.744,1
3,259,30.656,1
3,260,30.656,0
3,261,6.912,0
3,262,30.656,0
3,263,30.656,0
3,264,0.0,0
3,265,37.568,0
3,266,27.2,0
3,267,34.112,0
3,268,30.656,0
3,269,30.656,0
3,270,6.912,0
3,271,30.656,0
3,272,0.0,0
3,273,39.672,0
3,274,87.552,0
3,275,182.273,0
3,276,6.912,0
3,277,30.656,0
3,278,30.656,0
3,279,30.656,0
3,280,30.656,0
3,281,6.912,0
3,282,6.912,0
3,283,23.744,0
3,284,30.656,0
3,285,30.656,0
3,286,6.912,0
3,287,28.28,0
3,288,6.912,1
3,289,23.744,1
3,290,30.656,1
3,291,30.656,0
3,292,37.568,0
3,293,30.656,0
3,294,6.912,0
3,295,6.912,0
3,296,54.4,0
3,297,0.0,0
3,298,6.912,0
3,299,30.656,0
3,300,61.312,0
3,301,30.656,0
3,302,6.912,0
3,303,6.912,0
3,304,30.656,0
3,305,30.656,0
3,306,30.656,0
3,307,27.2,0
3,308,2.592,0
3,309,7.776,0
3,310,30.656,0
3,311,30.656,0
3,312,30.656,0
3,313,27.2,0
3,314,3.456,0
3,315,6.912,0
3,316,99.072,0
3,317,202.433,0
3,318,6.912,0
3,319,6.912,1
3,320,23.744,1
3,321,37.568,1
3,322,23.744,0
3,323,30.656,0
3,324,6.912,0
3,325,37.568,0
3,326,30.656,0
3,327,30.656,0
3,328,27.2,0
3,329,10.368,0
3,330,30.656,0
3,331,30.656,0
3,332,30.656,0
3,333,0.0,0
3,334,27.2,0
3,335,10.368,0
3,336,30.656,0
3,337,0.0,0
3,338,30.656,0
3,339,30.656,0
3,340,6.912,0
3,341,30.656,0
3,342,37.568,0
3,343,30.656,0
3,344,29.792,0
3,345,0.864,0
3,346,30.656,0
3,347,30.656,0
3,348,6.912,0
3,349,30.656,0
3,350,37.568,1
3,351,30.656,1
3,352,30.656,1
3,353,23.744,0
3,354,30.656,0
3,355,6.912,0
3,356,47.232,0
3,357,87.552,0
3,358,16.992,0
3,359,94.304,0
3,360,70.976,0
3,361,6.912,0
3,362,30.656,0
3,363,30.656,0
3,364,30.656,0
3,365,6.912,0
3,366,29.792,0
3,367,7.776,0
3,368,61.312,0
3,369,30.656,0
3,370,23.744,0
3,371,6.912,0
3,372,30.656,0
3,373,6.912,0
3,374,30.656,0
3,375,30.656,0
3,376,30.656,0
3,377,30.656,0
3,378,6.912,0
3,379,30.656,0
3,380,30.656,0
3,381,6.912,1
3,382,30.656,1
3,383,6.912,1
3,384,23.744,0
3,385,30.656,0
3,386,30.656,0
3,387,6.912,0
3,388,30.656,0
3,389,30.656,0
3,390,0.0,0
3,391,30.656,0
3,392,34.112,0
3,393,34.112,0
3,394,30.656,0
3,395,30.656,0
3,396,6.912,0
3,397,30.656,0
3,398,0.0,0
3,399,39.672,0
3,400,87.552,0
3,401,182.273,0
3,402,6.912,0
3,403,6.912,0
3,404,30.656,0
3,405,30.656,0
3,406,30.656,0
3,407,30.656,0
3,408,6.912,0
3,409,0.0,0
3,410,30.656,0
3,411,30.656,0
3,412,30.656,1
3,413,28.28,1
3,414,6.912,1
3,415,23.744,0
3,416,30.656,0
3,417,30.656,0
3,418,37.568,0
3,419,30.656,0
3,420,6.912,0
3,421,0.0,0
3,422,37.568,0
3,423,23.744,0
3,424,6.912,0
3,425,30.656,0
3,426,61.312,0
3,427,30.656,0
