cell_id,slot_id,throughput_slot,loss_event,congestion_event
1,0,676.933,0,0
1,1,30.656,0,1
1,2,30.656,0,0
1,3,6.912,0,1
1,4,30.656,0,0
1,5,6.912,0,1
1,6,23.744,0,0
1,7,30.656,0,0
1,8,30.656,1,0
1,9,6.912,1,1
1,10,30.656,1,0
1,11,30.656,0,0
1,12,6.912,0,1
1,13,30.656,0,0
1,14,29.792,0,0
1,15,38.432,0,0
1,16,30.656,0,0
1,17,23.744,0,0
1,18,6.912,0,1
1,19,30.656,0,0
1,20,6.912,0,1
1,21,49.752,0,0
1,22,87.55199999999999,0,0
1,23,167.873,0,0
1,24,4.32,0,1
1,25,30.656,0,0
1,26,30.656,0,0
1,27,30.656,0,0
1,28,30.656,0,0
1,29,6.912,0,1
1,30,6.912,0,1
1,31,23.744,0,0
1,32,30.656,0,0
1,33,30.656,0,0
1,34,30.656,0,0
1,35,4.536,0,1
1,36,30.656,0,0
1,37,0.0,0,1
1,38,30.656,0,0
1,39,37.568,1,0
1,40,30.656,0,0
1,41,30.656,1,0
1,42,6.912,1,1
1,43,6.912,0,1
1,44,54.4,0,0
1,45,0.0,0,1
1,46,6.912,0,1
1,47,30.656,0,0
1,48,61.312,0,0
1,49,30.656,0,0
1,50,6.912,0,1
1,51,6.912,0,1
1,52,30.656,0,0
1,53,30.656,0,0
1,54,30.656,0,0
1,55,27.2,0,0
1,56,3.456,0,1
1,57,6.912,0,1
1,58,30.656,0,0
1,59,30.656,0,0
1,60,30.656,0,0
1,61,30.656,0,0
1,62,0.0,0,1
1,63,8.352,0,1
1,64,117.792,0,0
1,65,182.273,0,0
1,66,6.912,0,1
1,67,6.912,0,1
1,68,23.744,0,0
1,69,37.568,0,0
1,70,23.744,0,0
1,71,30.656,1,0
1,72,6.912,1,1
1,73,61.312,1,0
1,74,30.656,0,0
1,75,6.912,0,1
1,76,27.2,0,0
1,77,10.367999999999999,0,1
1,78,30.656,0,0
1,79,30.656,0,0
1,80,30.656,0,0
1,81,0.0,0,1
1,82,27.2,0,0
1,83,10.367999999999999,0,1
1,84,30.656,0,0
1,85,6.912,0,1
1,86,30.656,0,0
1,87,23.744,0,0
1,88,6.912,0,1
1,89,30.656,0,0
1,90,37.568,0,0
1,91,30.656,0,0
1,92,29.792,0,0
1,93,0.864,0,1
1,94,2618.069,0,0
1,95,2088.1440000000002,0,0
1,96,2071.312,0,0
1,97,3191.7650000000003,0,0
1,98,2360.018,0,0
1,99,3127.2560000000003,0,0
1,100,579127.256,0,0
1,101,2088.1440000000002,0,0
1,102,3387.898,1,0
1,103,520.42,1,0
1,104,47.232,1,1
1,105,87.552,0,1
1,106,16.992,0,1
1,107,94.304,0,1
1,108,1879.9180000000001,0,0
1,109,280.80199999999996,0,1
